t_s,I_A
0.0,0.0
0.0,4.0
10.0,4.0
10.0,0.0
30.0,0.0
30.0,4.0
40.0,4.0
40.0,0.0
60.0,0.0
60.0,4.0
70.0,4.0
70.0,0.0
90.0,0.0
90.0,4.0
100.0,4.0
100.0,0.0
120.0,0.0
120.0,4.0
130.0,4.0
130.0,0.0
150.0,0.0
150.0,4.0
160.0,4.0
160.0,0.0
180.0,0.0
180.0,4.0
190.0,4.0
190.0,0.0
210.0,0.0
210.0,4.0
220.0,4.0
220.0,0.0
240.0,0.0
240.0,4.0
250.0,4.0
250.0,0.0
270.0,0.0
270.0,4.0
280.0,4.0
280.0,0.0
300.0,0.0
300.0,4.0
310.0,4.0
310.0,0.0
330.0,0.0
330.0,4.0
340.0,4.0
340.0,0.0
360.0,0.0
360.0,4.0
370.0,4.0
370.0,0.0
390.0,0.0
390.0,4.0
400.0,4.0
400.0,0.0
420.0,0.0
420.0,4.0
430.0,4.0
430.0,0.0
450.0,0.0
450.0,4.0
460.0,4.0
460.0,0.0
480.0,0.0
480.0,4.0
490.0,4.0
490.0,0.0
510.0,0.0
510.0,4.0
520.0,4.0
520.0,0.0
540.0,0.0
540.0,4.0
550.0,4.0
550.0,0.0
570.0,0.0
570.0,4.0
580.0,4.0
580.0,0.0
600.0,0.0
600.0,4.0
610.0,4.0
610.0,0.0
630.0,0.0
630.0,4.0
640.0,4.0
640.0,0.0
660.0,0.0
660.0,4.0
670.0,4.0
670.0,0.0
690.0,0.0
690.0,4.0
700.0,4.0
700.0,0.0
720.0,0.0
720.0,4.0
730.0,4.0
730.0,0.0
750.0,0.0
750.0,4.0
760.0,4.0
760.0,0.0
780.0,0.0
780.0,4.0
790.0,4.0
790.0,0.0
810.0,0.0
810.0,4.0
820.0,4.0
820.0,0.0
840.0,0.0
840.0,4.0
850.0,4.0
850.0,0.0
870.0,0.0
870.0,4.0
880.0,4.0
880.0,0.0
900.0,0.0
