t_s,I_A
0.000,18.000000
60.000,18.000000
60.000,0.000000
90.000,0.000000
90.000,-18.000000
150.000,-18.000000
150.000,0.000000
180.000,0.000000
180.000,18.000000
240.000,18.000000
240.000,0.000000
270.000,0.000000
270.000,-18.000000
330.000,-18.000000
330.000,0.000000
360.000,0.000000
360.000,18.000000
420.000,18.000000
420.000,0.000000
450.000,0.000000
450.000,-18.000000
510.000,-18.000000
510.000,0.000000
540.000,0.000000
540.000,18.000000
600.000,18.000000
600.000,0.000000
630.000,0.000000
630.000,-18.000000
690.000,-18.000000
690.000,0.000000
720.000,0.000000
720.000,18.000000
780.000,18.000000
780.000,0.000000
810.000,0.000000
810.000,-18.000000
870.000,-18.000000
870.000,0.000000
900.000,0.000000
900.000,18.000000
960.000,18.000000
960.000,0.000000
990.000,0.000000
990.000,-18.000000
1050.000,-18.000000
1050.000,0.000000
1080.000,0.000000
1080.000,18.000000
1140.000,18.000000
1140.000,0.000000
1170.000,0.000000
1170.000,-18.000000
1230.000,-18.000000
1230.000,0.000000
1260.000,0.000000
1260.000,18.000000
1320.000,18.000000
1320.000,0.000000
1350.000,0.000000
1350.000,-18.000000
1410.000,-18.000000
1410.000,0.000000
1440.000,0.000000
1440.000,18.000000
1500.000,18.000000
1500.000,0.000000
1530.000,0.000000
1530.000,-18.000000
1590.000,-18.000000
1590.000,0.000000
1620.000,0.000000
1620.000,18.000000
1680.000,18.000000
1680.000,0.000000
1710.000,0.000000
1710.000,-18.000000
1770.000,-18.000000
1770.000,0.000000
1800.000,0.000000
