t_s,I_A
0.0,0.0
0.0,3.0
60.0,3.0
60.0,0.0
90.0,0.0
90.0,-2.5
150.0,-2.5
150.0,0.0
180.0,0.0
180.0,3.0
240.0,3.0
240.0,0.0
270.0,0.0
270.0,-2.5
330.0,-2.5
330.0,0.0
360.0,0.0
360.0,3.0
420.0,3.0
420.0,0.0
450.0,0.0
450.0,-2.5
510.0,-2.5
510.0,0.0
540.0,0.0
540.0,3.0
600.0,3.0
600.0,0.0
630.0,0.0
630.0,-2.5
690.0,-2.5
690.0,0.0
720.0,0.0
720.0,3.0
780.0,3.0
780.0,0.0
810.0,0.0
810.0,-2.5
870.0,-2.5
870.0,0.0
900.0,0.0
900.0,3.0
960.0,3.0
960.0,0.0
990.0,0.0
990.0,-2.5
1050.0,-2.5
1050.0,0.0
1080.0,0.0
